episode,score,avg_score,agent_hidden_sizes
189,69.0,128.38,16|16
190,76.0,127.46,16|16
191,74.0,126.16,16|16
192,82.0,125.32,16|16
193,71.0,124.04,16|16
194,111.0,122.32,16|16
195,89.0,118.28,16|16
196,99.0,115.78,16|16
197,132.0,113.5,16|16
198,126.0,111.28,16|16
199,179.0,111.54,16|16
200,195.0,111.64,16|16
201,133.0,111.26,16|16
202,466.0,116.62,16|16
203,500.0,123.08,16|16
204,224.0,124.4,16|16
205,141.0,122.66,16|16
206,127.0,122.12,16|16
207,132.0,120.88,16|16
208,112.0,118.68,16|16
209,54.0,115.08,16|16
210,53.0,113.0,16|16
211,97.0,111.08,16|16
212,95.0,109.98,16|16
213,105.0,109.22,16|16
214,44.0,107.6,16|16
215,101.0,107.2,16|16
216,109.0,106.94,16|16
217,111.0,106.88,16|16
218,102.0,106.82,16|16
219,131.0,106.84,16|16
220,119.0,107.16,16|16
221,133.0,107.8,16|16
222,164.0,109.74,16|16
223,475.0,117.68,16|16
224,137.0,118.8,16|16
225,500.0,127.56,16|16
226,500.0,136.58,16|16
227,500.0,145.74,16|16
228,195.0,148.36,16|16
229,190.0,150.94,16|16
230,178.0,153.16,16|16
231,153.0,155.3,16|16
232,150.0,157.34,16|16
233,188.0,160.06,16|16
234,186.0,162.74,16|16
235,158.0,164.78,16|16
236,238.0,168.54,16|16
237,199.0,171.2,16|16
238,193.0,173.92,16|16
239,174.0,176.02,16|16
240,218.0,178.86,16|16
241,164.0,180.66,16|16
242,169.0,182.4,16|16
243,169.0,184.36,16|16
244,137.0,184.88,16|16
245,141.0,185.92,16|16
246,142.0,186.78,16|16
247,117.0,186.48,16|16
248,145.0,186.86,16|16
249,144.0,186.16,16|16
250,126.0,184.78,16|16
251,133.0,184.78,16|16
252,131.0,178.08,16|16
253,156.0,171.2,16|16
254,138.0,169.48,16|16
255,148.0,169.62,16|16
256,198.0,171.04,16|16
257,216.0,172.72,16|16
258,180.0,174.08,16|16
259,190.0,176.8,16|16
260,274.0,181.22,16|16
261,310.0,185.48,16|16
262,349.0,190.56,16|16
263,321.0,194.88,16|16
264,500.0,204.0,16|16
