epoch,loss
0,0.6681272983551025
1,0.43484410643577576
2,0.25091850757598877
3,0.11888939142227173
4,0.043939877301454544
5,0.0344274565577507
6,0.08141309022903442
7,0.12178875505924225
8,0.11627520620822906
9,0.08402132242918015
10,0.05241599678993225
11,0.035844165831804276
12,0.035253457725048065
13,0.04406537115573883
14,0.05427129939198494
15,0.06069130077958107
16,0.06137090176343918
17,0.05682062730193138
18,0.048758503049612045
19,0.039524056017398834
20,0.03153892233967781
21,0.026729051023721695
22,0.025902340188622475
23,0.028342079371213913
24,0.032002031803131104
25,0.034317441284656525
26,0.03372509032487869
27,0.030447829514741898
28,0.026022331789135933
29,0.022242704406380653
30,0.020185869187116623
31,0.019937695935368538
32,0.020820191130042076
33,0.021877387538552284
34,0.022301381453871727
35,0.021713878959417343
36,0.020163679495453835
37,0.01809120550751686
38,0.016100477427244186
39,0.01471099816262722
40,0.014155120588839054
41,0.01420924998819828
42,0.014360547997057438
43,0.014094964601099491
44,0.01323604118078947
45,0.01200136262923479
46,0.01083147618919611
47,0.010013088583946228
48,0.009603667072951794
49,0.009547592140734196
50,0.009231767617166042
51,0.008459811098873615
52,0.0075552514754235744
53,0.006610196549445391
54,0.005758409854024649
55,0.005024658981710672
56,0.004375287797302008
57,0.0037131470162421465
58,0.0030524807516485453
59,0.0024540165904909372
60,0.00187421846203506
61,0.0013055241433903575
62,0.0009111528634093702
63,0.0006696569034829736
64,0.0004588882438838482
65,0.0005142082809470594
66,0.0006053448305465281
67,0.000798888155259192
68,0.000982109922915697
69,0.0010911140125244856
70,0.001152470358647406
71,0.0010801233584061265
72,0.001011548680253327
73,0.0008563234005123377
74,0.0007417561719194055
75,0.0006233199965208769
76,0.0005302548524923623
77,0.00048683915520086884
78,0.00044264501775614917
79,0.0004382855258882046
80,0.00044655430247075856
81,0.00045352111919783056
82,0.0004790812963619828
83,0.0004951524315401912
84,0.0005062328418716788
85,0.0005221817409619689
86,0.0005244912463240325
87,0.0005229210364632308
88,0.000521766603924334
89,0.0005098851397633553
90,0.000498189649078995
91,0.0004871490236837417
92,0.00047070859000086784
93,0.0004585905699059367
94,0.0004479467461351305
95,0.4148608148097992
96,0.21398010849952698
97,0.08723314106464386
98,0.027971001341938972
99,0.03247397765517235
100,0.07038668543100357
101,0.09351036697626114
102,0.08728673309087753
103,0.06390810012817383
104,0.039761658757925034
105,0.026008810847997665
106,0.025558223947882652
107,0.03428009897470474
108,0.043958283960819244
109,0.047999389469623566
110,0.04475531727075577
111,0.036524657160043716
112,0.02719314955174923
113,0.020151346921920776
114,0.017171956598758698
115,0.0180401299148798
116,0.020898329094052315
117,0.02330728992819786
118,0.023455867543816566
119,0.020952358841896057
120,0.016752762719988823
121,0.012552357278764248
122,0.00975208729505539
123,0.008929681964218616
124,0.00961894728243351
125,0.010695855133235455
126,0.010993286967277527
127,0.009936073794960976
128,0.0077931699343025684
129,0.00544976070523262
130,0.003877913113683462
131,0.0035333444830030203
132,0.004099291283637285
133,0.004707254469394684
134,0.004576641600579023
135,0.0035783422645181417
136,0.0022847242653369904
137,0.0014738611644133925
138,0.0015088878571987152
139,0.002079258905723691
140,0.0025048006791621447
141,0.0023383181542158127
142,0.001724607776850462
143,0.0012075478443875909
144,0.0011992332292720675
145,0.0016077926848083735
146,0.0019722809083759785
147,0.001944330520927906
148,0.0016081193462014198
149,0.0013365230988711119
150,0.001376636791974306
151,0.0016237435629591346
152,0.0017772087594494224
153,0.0016768805216997862
154,0.001441257307305932
155,0.0013007891830056906
156,0.0013448128011077642
157,0.0014567761681973934
158,0.0014714691787958145
159,0.0013540710788220167
160,0.0012133639538660645
161,0.0011642841855064034
162,0.001209084875881672
163,0.0012576087610796094
164,0.0012364521389827132
165,0.0011608600616455078
166,0.0011020239908248186
167,0.0011040550889447331
168,0.001143528730608523
169,0.00116531562525779
170,0.0011445890413597226
171,0.001106770127080381
172,0.0010913870064541698
173,0.0011081135598942637
174,0.0011319008190184832
175,0.0011347377439960837
176,0.0011157618137076497
177,0.001096902065910399
178,0.0010957397753372788
179,0.001107795862480998
180,0.22790594398975372
181,0.13947898149490356
182,0.062112804502248764
183,0.011260109953582287
184,0.006509346887469292
185,0.042121026664972305
186,0.06041576340794563
187,0.04750167578458786
188,0.02455585077404976
189,0.00810852088034153
190,0.0030353162437677383
191,0.006575156003236771
192,0.013541354797780514
193,0.01967482641339302
194,0.02269056625664234
195,0.02203167974948883
196,0.018350020051002502
197,0.012974346056580544
198,0.007660725619643927
199,0.004114726558327675
200,0.003475105157122016
201,0.005614730063825846
202,0.008851190097630024
203,0.010844881646335125
204,0.0103286849334836
205,0.00784323550760746
206,0.004964181687682867
207,0.003092115977779031
208,0.0027398625388741493
209,0.0035504212137311697
210,0.004737236071377993
211,0.005555799696594477
212,0.005585504695773125
213,0.004825742915272713
214,0.0036197546869516373
215,0.0024745597038418055
216,0.0018379237735643983
217,0.0018744416302070022
218,0.0023704632185399532
219,0.0028605270199477673
220,0.0029347892850637436
221,0.002507077995687723
222,0.001835268922150135
223,0.0012943880865350366
224,0.0011134282685816288
225,0.001264119171537459
226,0.0015317646320909262
227,0.0016785466577857733
228,0.0015842582797631621
229,0.0012959794839844108
230,0.0009782587876543403
231,0.0007996683125384152
232,0.0008231311221607029
233,0.0009695101180113852
234,0.0010851776460185647
235,0.001063293544575572
236,0.0009190190467052162
237,0.0007609840831719339
238,0.0006922455504536629
239,0.0007335563423112035
240,0.0008226977079175413
241,0.0008752309950068593
242,0.000849659088999033
243,0.0007711040670983493
244,0.000702225137501955
245,0.0006899525760672987
246,0.0007305399631150067
247,0.000778339512180537
248,0.0007892335415817797
249,0.0007572787581011653
250,0.000713805144187063
251,0.0006943786866031587
252,0.0007081273361109197
253,0.0007348590297624469
254,0.0007473192526958883
255,0.000734995468519628
256,0.0007101929513737559
257,0.0006935929413884878
258,0.0006955870776437223
259,0.0007086965488269925
260,0.0007168168085627258
261,0.17086048424243927
262,0.10526378452777863
263,0.04816111549735069
264,0.021728012710809708
265,0.034386731684207916
266,0.056978702545166016
267,0.05685357376933098
268,0.040604036301374435
269,0.023792190477252007
270,0.014940595254302025
271,0.015158024616539478
272,0.021030278876423836
273,0.026708249002695084
274,0.02830744907259941
275,0.025404714047908783
276,0.01992049440741539
277,0.014181406237185001
278,0.010135774500668049
279,0.008929794654250145
280,0.010326119139790535
281,0.01263468712568283
282,0.013660892844200134
283,0.012254079803824425
284,0.009051825851202011
285,0.005797655787318945
286,0.00409437483176589
287,0.004338980186730623
288,0.0055848476476967335
289,0.006309215910732746
290,0.00569047499448061
291,0.003920213785022497
