epoch,loss,hidden_size
0,0.3698454797267914,32
1,0.1398860365152359,32
2,0.02454117126762867,32
3,0.0034636138007044792,32
4,0.04244568943977356,32
5,0.07837705314159393,32
6,0.07941358536481857,32
7,0.05587656423449516,32
8,0.027511058375239372,32
9,0.0079332385212183,32
10,0.0014299624599516392,32
11,0.005686520133167505,32
12,0.015066913329064846,32
13,0.02398328296840191,32
14,0.02883811481297016,32
15,0.02844308875501156,32
16,0.02355766110122204,32
17,0.016155226156115532,32
18,0.008680053055286407,32
19,0.0033398382365703583,32
20,0.0014525389997288585,32
21,0.002989628352224827,32
22,0.006569046061486006,32
23,0.010076742619276047,32
24,0.011706759221851826,32
25,0.010809184983372688,32
26,0.008027059026062489,32
27,0.004744531121104956,32
28,0.0022946528624743223,32
29,0.0013830295065417886,32
30,0.0019336022669449449,32
31,0.003303063800558448,32
32,0.004667588043957949,32
33,0.005380651447921991,32
34,0.005181136541068554,32
35,0.004217625595629215,32
36,0.0029258262366056442,32
37,0.0018218241166323423,32
38,0.0012837853282690048,32
39,0.001402215682901442,32
40,0.0019625688437372446,32
41,0.002573383040726185,32
42,0.002876135054975748,32
43,0.0027218027971684933,32
44,0.0022172019816935062,32
45,0.001629456295631826,32
46,0.0012223714729771018,32
47,0.0011247344082221389,32
48,0.001292375149205327,32
49,0.001562543329782784,32
50,0.0017547754105180502,32
51,0.001760462298989296,32
52,0.001582486554980278,32
53,0.0013157675275579095,32
54,0.0010869173565879464,32
55,0.0009858019184321165,32
56,0.0010237033711746335,32
57,0.0011371184373274446,32
58,0.0012320713140070438,32
59,0.0012404589215293527,32
60,0.001154607511125505,32
61,0.0010221925331279635,32
62,0.0009098955779336393,32
63,0.0008621357847005129,32
64,0.0008797110640443861,32
65,0.000926957291085273,32
66,0.0009582974598743021,32
67,0.000945781241171062,32
68,0.000891914707608521,32
69,0.0008232509717345238,32
70,0.0007712037768214941,32
71,0.0007527999696321785,32
72,0.0007625760626979172,32
73,0.0007791499956510961,32
74,0.0007808564696460962,32
75,0.0007592546171508729,32
76,0.5485504269599915,16
77,0.32181283831596375,16
78,0.15646110475063324,16
79,0.056203968822956085,16
80,0.01606925018131733,16
81,0.022180328145623207,16
82,0.052620429545640945,16
83,0.08364057540893555,16
84,0.10007304698228836,16
85,0.09871284663677216,16
86,0.08395081758499146,16
87,0.0627748966217041,16
88,0.04177156463265419,16
89,0.025701772421598434,16
90,0.016964372247457504,16
91,0.015624198131263256,16
92,0.019900741055607796,16
93,0.026999937370419502,16
94,0.034048907458782196,16
95,0.038847703486680984,16
96,0.040259622037410736,16
97,0.03823466598987579,16
98,0.033575933426618576,16
99,0.02758135087788105,16
100,0.021662160754203796,16
101,0.01700477860867977,16
102,0.014323731884360313,16
103,0.013742886483669281,16
104,0.014828010462224483,16
105,0.01676320657134056,16
106,0.01862136647105217,16
107,0.019644295796751976,16
108,0.019442766904830933,16
109,0.018059978261590004,16
110,0.015895487740635872,16
111,0.013533198274672031,16
112,0.011539594270288944,16
113,0.010295619256794453,16
114,0.009905954822897911,16
115,0.010202169418334961,16
116,0.010828792117536068,16
