episode,score,avg_score,hidden_size
261,107.0,107.0,51
262,24.0,65.5,51
263,35.0,55.333333333333336,51
264,35.0,50.25,51
265,104.0,61.0,51
266,79.0,64.0,51
267,95.0,68.42857142857143,51
268,157.0,79.5,51
269,40.0,75.11111111111111,51
270,148.0,82.4,51
271,72.0,81.45454545454545,51
272,232.0,94.0,51
273,58.0,91.23076923076923,51
274,55.0,88.64285714285714,51
275,15.0,83.73333333333333,51
276,39.0,80.9375,51
277,109.0,82.58823529411765,51
278,106.0,83.88888888888889,51
279,131.0,86.36842105263158,51
280,152.0,89.65,51
281,32.0,86.9047619047619,51
282,116.0,88.22727272727273,51
283,78.0,87.78260869565217,51
284,207.0,92.75,51
285,136.0,94.48,51
286,51.0,92.8076923076923,51
287,76.0,92.18518518518519,51
288,97.0,92.35714285714286,51
289,77.0,91.82758620689656,51
290,150.0,93.76666666666667,51
291,68.0,92.93548387096774,51
292,50.0,91.59375,51
293,168.0,93.9090909090909,51
294,115.0,94.52941176470588,51
295,91.0,94.42857142857143,51
296,107.0,94.77777777777777,51
297,84.0,94.48648648648648,51
298,149.0,95.92105263157895,51
299,93.0,95.84615384615384,51
300,132.0,96.75,51
301,95.0,96.70731707317073,51
302,138.0,97.69047619047619,51
303,92.0,97.55813953488372,51
304,62.0,96.75,51
305,133.0,97.55555555555556,51
306,105.0,97.71739130434783,51
307,58.0,96.87234042553192,51
308,135.0,97.66666666666667,51
309,160.0,98.93877551020408,51
310,107.0,99.1,51
311,110.0,99.16,51
312,121.0,101.1,51
313,60.0,101.6,51
314,48.0,101.86,51
315,118.0,102.14,51
316,124.0,103.04,51
317,122.0,103.58,51
318,134.0,103.12,51
319,25.0,102.82,51
320,113.0,102.12,51
321,85.0,102.38,51
322,99.0,99.72,51
323,147.0,101.5,51
324,46.0,101.32,51
325,20.0,101.42,51
326,65.0,101.94,51
327,31.0,100.38,51
328,56.0,99.38,51
329,53.0,97.82,51
330,39.0,95.56,51
331,56.0,96.04,51
332,70.0,95.12,51
333,71.0,94.98,51
334,82.0,92.48,51
335,55.0,90.86,51
336,61.0,91.06,51
337,27.0,90.08,51
338,55.0,89.24,51
339,40.0,88.5,51
340,41.0,86.32,51
341,62.0,86.2,51
342,63.0,86.46,51
343,49.0,84.08,51
344,91.0,83.6,51
345,106.0,83.9,51
346,99.0,83.74,51
347,96.0,83.98,51
348,140.0,83.8,51
349,126.0,84.46,51
350,101.0,83.84,51
351,126.0,84.46,51
352,135.0,84.4,51
353,118.0,84.92,51
354,96.0,85.6,51
355,154.0,86.02,51
356,153.0,86.98,51
357,148.0,88.78,51
358,134.0,88.76,51
359,157.0,88.7,51
360,194.0,90.44,51
361,181.0,91.86,51
362,198.0,93.4,51
363,167.0,95.54,51
364,164.0,97.86,51
365,258.0,100.66,51
366,254.0,103.26,51
367,500.0,110.82,51
368,500.0,118.14,51
369,500.0,127.64,51
370,500.0,135.38,51
371,500.0,143.68,51
372,285.0,147.4,51
373,224.0,148.94,51
374,500.0,158.02,51
375,326.0,164.14,51
376,294.0,168.72,51
377,500.0,178.1,51
378,500.0,186.98,51
379,500.0,195.92,51
